team,comparison_team,euclidean_distance,attacking_territory_z_difference,attacking_territory_absolute_z_difference,pass_verticality_z_difference,pass_verticality_absolute_z_difference,pressing_intensity_z_difference,pressing_intensity_absolute_z_difference,attacking_width_z_difference,attacking_width_absolute_z_difference,counterattacking_tendency_z_difference,counterattacking_tendency_absolute_z_difference
Newcastle United,Manchester City,3.481098,-2.892718,2.892718,1.631818,1.631818,-0.978850,0.978850,0.057609,0.057609,-0.354866,0.354866
Newcastle United,Manchester United,4.248408,-2.973072,2.973072,1.659442,1.659442,-1.483196,1.483196,-0.722031,0.722031,1.932581,1.932581
Newcastle United,Norwich City,2.096618,-0.773400,0.773400,-0.511053,0.511053,0.390446,0.390446,-0.928143,0.928143,1.588265,1.588265
Newcastle United,Southampton,1.819864,-1.175167,1.175167,-0.007893,0.007893,-0.709019,0.709019,0.833409,0.833409,-0.856474,0.856474
Newcastle United,Stoke City,2.514445,-0.421855,0.421855,0.323601,0.323601,0.044516,0.044516,1.450464,1.450464,1.983413,1.983413
Newcastle United,Sunderland,3.116274,0.431899,0.431899,-1.574595,1.574595,0.517527,0.517527,2.442617,2.442617,0.900592,0.900592
Newcastle United,Swansea City,2.257985,-0.703091,0.703091,1.073408,1.073408,-0.770944,0.770944,0.244518,0.244518,1.672666,1.672666
Newcastle United,Tottenham Hotspur,4.111421,-1.878258,1.878258,0.891876,0.891876,-2.836326,2.836326,2.096964,2.096964,-0.372130,0.372130
Newcastle United,Watford,2.017950,-0.261148,0.261148,-0.868198,0.868198,0.371048,0.371048,1.669378,1.669378,0.570663,0.570663
Newcastle United,West Bromwich Albion,2.620447,0.231016,0.231016,-1.223370,1.223370,0.525982,0.525982,0.645220,0.645220,2.150296,2.150296
Newcastle United,West Ham United,0.940624,-0.753312,0.753312,-0.031571,0.031571,0.481467,0.481467,-0.160025,0.160025,-0.242652,0.242652
Norwich City,AFC Bournemouth,2.568276,-0.622738,0.622738,1.333868,1.333868,-1.994505,1.994505,0.317489,0.317489,-0.591763,0.591763
Norwich City,Arsenal,3.768875,-1.667331,1.667331,1.892277,1.892277,-1.060420,1.060420,2.589840,2.589840,0.109337,0.109337
Norwich City,Aston Villa,1.634313,0.271192,0.271192,0.974750,0.974750,-0.133299,0.133299,1.236671,1.236671,-0.316502,0.316502
Norwich City,Chelsea,3.706581,-1.466447,1.466447,1.655496,1.655496,-1.488418,1.488418,2.136650,2.136650,-1.437687,1.437687
Norwich City,Crystal Palace,1.419909,0.592605,0.592605,-0.266379,0.266379,-0.987056,0.987056,0.610654,0.610654,-0.496812,0.496812
Norwich City,Everton,3.368121,-0.150662,0.150662,1.381224,1.381224,-0.431977,0.431977,2.562956,2.562956,-1.630465,1.630465
Norwich City,Leicester City,3.320196,0.472076,0.472076,-1.085247,1.085247,-0.443417,0.443417,0.866694,0.866694,-2.945388,2.945388
Norwich City,Liverpool,4.840449,-1.205299,1.205299,1.195745,1.195745,-3.244677,3.244677,2.829237,2.829237,-1.419464,1.419464
Norwich City,Manchester City,3.963059,-2.119318,2.119318,2.142870,2.142870,-1.369295,1.369295,0.985752,0.985752,-1.943131,1.943131
Norwich City,Manchester United,3.636093,-2.199671,2.199671,2.170495,2.170495,-1.873641,1.873641,0.206112,0.206112,0.344316,0.344316
Norwich City,Newcastle United,2.096618,0.773400,0.773400,0.511053,0.511053,-0.390446,0.390446,0.928143,0.928143,-1.588265,1.588265
Norwich City,Southampton,3.271578,-0.401766,0.401766,0.503160,0.503160,-1.099465,1.099465,1.761552,1.761552,-2.444739,2.444739
