team,comparison_team,neighbour_rank,euclidean_distance,attacking_territory_z_difference,attacking_territory_absolute_z_difference,pass_verticality_z_difference,pass_verticality_absolute_z_difference,pressing_intensity_z_difference,pressing_intensity_absolute_z_difference,attacking_width_z_difference,attacking_width_absolute_z_difference,counterattacking_tendency_z_difference,counterattacking_tendency_absolute_z_difference
Stoke City,Swansea City,2,1.690310,-0.281237,0.281237,0.749807,0.749807,-0.815459,0.815459,-1.205946,1.205946,-0.310748,0.310748
Stoke City,Watford,3,1.896476,0.160707,0.160707,-1.191799,1.191799,0.326532,0.326532,0.218914,0.218914,-1.412750,1.412750
Stoke City,West Bromwich Albion,4,1.930657,0.652870,0.652870,-1.546971,1.546971,0.481467,0.481467,-0.805244,0.805244,0.166883,0.166883
Stoke City,Everton,5,2.166899,-0.502208,0.502208,0.546570,0.546570,-0.086047,0.086047,0.184348,0.184348,-2.025613,2.025613
Sunderland,Watford,1,1.306721,-0.693047,0.693047,0.706397,0.706397,-0.146479,0.146479,-0.773239,0.773239,-0.329929,0.329929
Sunderland,West Bromwich Albion,2,2.226248,-0.200883,0.200883,0.351226,0.351226,0.008456,0.008456,-1.797397,1.797397,1.249704,1.249704
Sunderland,Stoke City,3,2.590879,-0.853754,0.853754,1.898197,1.898197,-0.473011,0.473011,-0.992153,0.992153,1.082821,1.082821
Sunderland,Everton,4,3.109577,-1.355962,1.355962,2.444767,2.444767,-0.559058,0.559058,-0.807805,0.807805,-0.942793,0.942793
Sunderland,Newcastle United,5,3.116274,-0.431899,0.431899,1.574595,1.574595,-0.517527,0.517527,-2.442617,2.442617,-0.900592,0.900592
Swansea City,Aston Villa,1,1.278238,0.200883,0.200883,-0.609712,0.609712,1.028090,1.028090,0.064010,0.064010,-0.400903,0.400903
Swansea City,AFC Bournemouth,2,1.557469,-0.693047,0.693047,-0.250594,0.250594,-0.833116,0.833116,-0.855172,0.855172,-0.676164,0.676164
Swansea City,Stoke City,3,1.690310,0.281237,0.281237,-0.749807,0.749807,0.815459,0.815459,1.205946,1.205946,0.310748,0.310748
Swansea City,Crystal Palace,4,2.093431,0.522296,0.522296,-1.850840,1.850840,0.174333,0.174333,-0.562007,0.562007,-0.581213,0.581213
Swansea City,Newcastle United,5,2.257985,0.703091,0.703091,-1.073408,1.073408,0.770944,0.770944,-0.244518,0.244518,-1.672666,1.672666
Tottenham Hotspur,Liverpool,1,0.619924,-0.100442,0.100442,-0.207184,0.207184,-0.017906,0.017906,-0.195870,0.195870,0.540931,0.540931
Tottenham Hotspur,Chelsea,2,2.068572,-0.361590,0.361590,0.252567,0.252567,1.738353,1.738353,-0.888457,0.888457,0.522708,0.522708
Tottenham Hotspur,Southampton,3,2.767764,0.703091,0.703091,-0.899769,0.899769,2.127307,2.127307,-1.263555,1.263555,-0.484344,0.484344
Tottenham Hotspur,Everton,4,3.007370,0.954195,0.954195,-0.021705,0.021705,2.794795,2.794795,-0.462151,0.462151,0.329929,0.329929
Tottenham Hotspur,Manchester City,5,3.030863,-1.014460,1.014460,0.739941,0.739941,1.857476,1.857476,-2.039355,2.039355,0.017264,0.017264
Watford,Sunderland,1,1.306721,0.693047,0.693047,-0.706397,0.706397,0.146479,0.146479,0.773239,0.773239,0.329929,0.329929
Watford,Stoke City,2,1.896476,-0.160707,0.160707,1.191799,1.191799,-0.326532,0.326532,-0.218914,0.218914,1.412750,1.412750
Watford,West Bromwich Albion,3,1.984066,0.492164,0.492164,-0.355172,0.355172,0.154935,0.154935,-1.024158,1.024158,1.579633,1.579633
Watford,Everton,4,2.002099,-0.662915,0.662915,1.738369,1.738369,-0.412579,0.412579,-0.034565,0.034565,-0.612863,0.612863
Watford,Newcastle United,5,2.017950,0.261148,0.261148,0.868198,0.868198,-0.371048,0.371048,-1.669378,1.669378,-0.570663,0.570663
West Bromwich Albion,Crystal Palace,1,1.917452,-0.411811,0.411811,0.445938,0.445938,-1.122593,1.122593,-0.962709,0.962709,-1.058843,1.058843
West Bromwich Albion,Stoke City,2,1.930657,-0.652870,0.652870,1.546971,1.546971,-0.481467,0.481467,0.805244,0.805244,-0.166883,0.166883
West Bromwich Albion,Watford,3,1.984066,-0.492164,0.492164,0.355172,0.355172,-0.154935,0.154935,1.024158,1.024158,-1.579633,1.579633
West Bromwich Albion,Norwich City,4,2.079896,-1.004416,1.004416,0.712317,0.712317,-0.135537,0.135537,-1.573363,1.573363,-0.562031,0.562031
West Bromwich Albion,Aston Villa,5,2.083570,-0.733224,0.733224,1.687067,1.687067,-0.268835,0.268835,-0.336692,0.336692,-0.878533,0.878533
West Ham United,Newcastle United,1,0.940624,0.753312,0.753312,0.031571,0.031571,-0.481467,0.481467,0.160025,0.160025,0.242652,0.242652
West Ham United,Aston Villa,2,1.694596,0.251104,0.251104,0.495267,0.495267,-0.224320,0.224320,0.468552,0.468552,1.514415,1.514415
West Ham United,Southampton,3,1.720310,-0.421855,0.421855,0.023678,0.023678,-1.190486,1.190486,0.993433,0.993433,-0.613822,0.613822
West Ham United,Crystal Palace,4,1.962388,0.572517,0.572517,-0.745861,0.745861,-1.078077,1.078077,-0.157464,0.157464,1.334104,1.334104
West Ham United,Norwich City,5,2.044714,-0.020088,0.020088,-0.479482,0.479482,-0.091021,0.091021,-0.768119,0.768119,1.830917,1.830917
